Reference,WOB,VRTotalRawScore,NVTotalRawScore,SASVR,SASNVR,Total SAS,,
973,14/09/2009,39,38,105,107,212,,
2489,07/09/2009,71,59,134,136,270,,
822,31/08/2009,30,19,98,84,182,,
1347,31/08/2009,54,50,116,122,238,,
1383,31/08/2009,65,53,126,126,252,,
2070,31/08/2009,41,28,106,96,202,,
2604,31/08/2009,72,57,136,132,268,,
2715,31/08/2009,21,,89,,89,,
2724,31/08/2009,65,55,126,129,255,,
3101,31/08/2009,53,53,115,126,241,,
3376,31/08/2009,14,18,78,82,160,,
4138,31/08/2009,31,29,99,97,196,,
3,24/08/2009,59,38,120,107,227,,
51,24/08/2009,70,57,133,132,265,,
125,24/08/2009,37,47,104,118,222,,
141,24/08/2009,26,42,94,112,206,,
197,24/08/2009,46,40,110,109,219,,
256,24/08/2009,42,39,107,108,215,,
296,24/08/2009,38,29,104,97,201,,
397,24/08/2009,14,20,78,85,163,,
542,24/08/2009,63,49,124,121,245,,
586,24/08/2009,30,24,98,91,189,,
593,24/08/2009,15,13,79,71,150,,
624,24/08/2009,42,41,107,111,218,,
725,24/08/2009,20,32,88,101,189,,
795,24/08/2009,61,39,122,108,230,,
960,24/08/2009,47,39,111,108,219,,
1200,24/08/2009,49,46,112,117,229,,
1219,24/08/2009,27,29,95,97,192,,
1227,24/08/2009,46,36,110,105,215,,
1498,24/08/2009,50,37,113,106,219,,
1531,24/08/2009,19,24,86,91,177,,
1566,24/08/2009,38,40,104,109,213,,
1578,24/08/2009,67,54,129,127,256,,
1622,24/08/2009,34,24,101,91,192,,
1701,24/08/2009,40,26,106,93,199,,
1728,24/08/2009,56,36,118,105,223,,
1805,24/08/2009,60,42,121,112,233,,
1855,24/08/2009,46,39,110,108,218,,
1938,24/08/2009,22,30,90,99,189,,
1987,24/08/2009,28,36,96,105,201,,
2061,24/08/2009,61,48,122,119,241,,
2195,24/08/2009,70,59,133,136,269,,
2302,24/08/2009,70,55,133,129,262,,
2336,24/08/2009,75,59,141,136,277,,
2440,24/08/2009,41,33,106,102,208,,
2490,24/08/2009,54,44,116,114,230,,
2555,24/08/2009,50,46,113,117,230,,
2571,24/08/2009,69,51,131,123,254,,
2572,24/08/2009,67,52,129,125,254,,
2633,24/08/2009,23,40,91,109,200,,
2779,24/08/2009,47,41,111,111,222,,
2901,24/08/2009,46,23,110,90,200,,
2984,24/08/2009,42,53,107,126,233,,
3041,24/08/2009,40,38,106,107,213,,
3057,24/08/2009,55,30,117,99,216,,
3124,24/08/2009,67,65,129,141,270,,
3157,24/08/2009,71,51,134,123,257,,
3261,24/08/2009,32,49,99,121,220,,
3322,24/08/2009,34,33,101,102,203,,
3429,24/08/2009,41,41,106,111,217,,
3509,24/08/2009,45,46,109,117,226,,
3510,24/08/2009,54,54,116,127,243,,
3540,24/08/2009,26,17,94,80,174,,
3555,24/08/2009,40,37,106,106,212,,
3583,24/08/2009,34,26,101,93,194,,
3701,24/08/2009,39,50,105,122,227,,
3721,24/08/2009,47,39,111,108,219,,
3789,24/08/2009,70,40,133,109,242,,
3795,24/08/2009,32,23,99,90,189,,
3870,24/08/2009,56,53,118,126,244,,
3890,24/08/2009,17,17,83,80,163,,
3922,24/08/2009,42,40,107,109,216,,
3950,24/08/2009,53,31,115,100,215,,
3980,24/08/2009,45,41,109,111,220,,
4042,24/08/2009,55,52,117,125,242,,
4174,24/08/2009,32,43,99,113,212,,
4176,24/08/2009,37,40,104,109,213,,
4219,24/08/2009,24,21,92,87,179,,
78,17/08/2009,38,41,104,111,215,,
151,17/08/2009,65,53,126,126,252,,
205,17/08/2009,65,56,126,130,256,,
340,17/08/2009,67,50,129,122,251,,
343,17/08/2009,62,44,123,114,237,,
471,17/08/2009,66,45,127,115,242,,
616,17/08/2009,19,36,86,105,191,,
689,17/08/2009,7,15,69,76,145,,
863,17/08/2009,57,54,119,127,246,,
924,17/08/2009,28,47,96,118,214,,
927,17/08/2009,52,33,115,102,217,,
978,17/08/2009,26,22,94,88,182,,
1080,17/08/2009,19,40,86,109,195,,
1092,17/08/2009,19,37,86,106,192,,
1224,17/08/2009,9,30,69,98,167,,
1233,17/08/2009,28,34,96,102,198,,
1237,17/08/2009,48,28,111,96,207,,
1293,17/08/2009,28,34,96,102,198,,
1416,17/08/2009,65,52,126,125,251,,
1421,17/08/2009,60,41,121,110,231,,
1481,17/08/2009,46,40,110,109,219,,
1537,17/08/2009,71,56,134,130,264,,
1691,17/08/2009,49,21,112,87,199,,
1712,17/08/2009,50,50,113,122,235,,
1993,17/08/2009,41,35,106,104,210,,
2033,17/08/2009,69,58,131,134,265,,
2103,17/08/2009,68,50,130,122,252,,
2111,17/08/2009,,22,,88,88,,
2117,17/08/2009,30,,98,,98,,
2172,17/08/2009,33,32,100,101,201,,
2250,17/08/2009,49,37,112,106,218,,
2347,17/08/2009,64,44,125,114,239,,
2429,17/08/2009,37,31,104,99,203,,
2459,17/08/2009,48,32,111,101,212,,
2513,17/08/2009,51,38,114,107,221,,
2538,17/08/2009,33,39,100,108,208,,
2569,17/08/2009,32,39,99,108,207,,
2614,17/08/2009,49,53,112,126,238,,
2658,17/08/2009,42,44,107,114,221,,
2660,17/08/2009,24,38,92,107,199,,
2757,17/08/2009,35,41,102,110,212,,
2758,17/08/2009,60,56,121,130,251,,
2771,17/08/2009,68,47,130,118,248,,
2981,17/08/2009,42,38,107,107,214,,
3061,17/08/2009,63,55,124,129,253,,
3084,17/08/2009,31,23,99,89,188,,
3099,17/08/2009,65,53,126,126,252,,
3122,17/08/2009,40,36,106,105,211,,
3258,17/08/2009,49,50,112,122,234,,
3276,17/08/2009,46,44,110,114,224,,
3317,17/08/2009,32,30,99,99,198,,
3383,17/08/2009,46,40,110,109,219,,
3421,17/08/2009,59,55,120,129,249,,
3447,17/08/2009,54,60,116,137,253,,
3466,17/08/2009,47,35,111,104,215,,
3470,17/08/2009,46,23,110,89,199,,
3471,17/08/2009,37,35,104,104,208,,
3582,17/08/2009,56,40,118,109,227,,
3587,17/08/2009,29,28,97,96,193,,
3702,17/08/2009,60,63,121,141,262,,
3706,17/08/2009,67,34,129,102,231,,
3892,17/08/2009,51,44,114,114,228,,
3947,17/08/2009,34,28,101,96,197,,
4011,17/08/2009,42,42,107,111,218,,
4046,17/08/2009,54,39,116,108,224,,
4216,17/08/2009,29,36,97,105,202,,
15,10/08/2009,41,27,106,95,201,,
87,10/08/2009,71,40,134,109,243,,
179,10/08/2009,54,32,116,100,216,,
212,10/08/2009,55,43,116,113,229,,
300,10/08/2009,34,34,101,102,203,,
302,10/08/2009,40,38,106,107,213,,
342,10/08/2009,66,47,127,118,245,,
365,10/08/2009,31,37,99,106,205,,
426,10/08/2009,49,27,112,95,207,,
504,10/08/2009,75,58,141,134,275,,
543,10/08/2009,48,39,111,108,219,,
577,10/08/2009,11,24,72,90,162,,
677,10/08/2009,16,26,81,93,174,,
688,10/08/2009,41,40,106,109,215,,
713,10/08/2009,54,41,115,110,225,,
719,10/08/2009,60,53,121,126,247,,
753,10/08/2009,41,32,106,100,206,,
780,10/08/2009,17,16,83,78,161,,
830,10/08/2009,31,28,99,96,195,,
913,10/08/2009,41,40,106,109,215,,
942,10/08/2009,55,52,116,125,241,,
1012,10/08/2009,25,22,93,88,181,,
